prefer,Kor,Eng,label
기상관련 데이터 경험 머신러닝 관련 모델링 도구 경험자 Tensorflow PyTorch 등 데이터 분석 경험자 R Tableau 등,"기상, 관련, 데이터, 경험, 머신, 러닝, 관련, 모델링, 도구, 경험, 등, 데이터, 분석, 경험, 등","tensorflow, pytorch, r, tableau",데이터 사이언티스트
블록체인 및 암호화폐 관련 기업 근무 경력 빅데이터 관련 기업 근무 경력 관련 대회 입상 수상 경력 통계분석 머신러닝 등 관련 분야 석 박사 학위 소지자 상위 수준의 영어 의사소통 및 문서 작성 능력,"블록, 체인, 및, 암호, 화폐, 관련, 기업, 근무, 경력, 빅데이터, 관련, 기업, 근무, 경력, 관련, 대회, 입상, 수상, 경력, 통계, 분석, 머신, 러닝, 등, 관련, 분야, 석, 박사, 학위, 소지, 상위, 수준, 영어, 의사소통, 및, 문서, 작성, 능력",,데이터 사이언티스트
블록체인 및 암호화폐 관련 기업 근무 경력 빅데이터 관련 기업 근무 경력 관련 대회 입상 수상 경력 통계분석 머신러닝 등 관련 분야 석 박사 학위 소지자 상위 수준의 영어 의사소통 및 문서 작성 능력,"블록, 체인, 및, 암호, 화폐, 관련, 기업, 근무, 경력, 빅데이터, 관련, 기업, 근무, 경력, 관련, 대회, 입상, 수상, 경력, 통계, 분석, 머신, 러닝, 등, 관련, 분야, 석, 박사, 학위, 소지, 상위, 수준, 영어, 의사소통, 및, 문서, 작성, 능력",,데이터 사이언티스트
관련학과 수학 통계 전산 데이터 분석 전공자 우대 ML 관련 서비스 개발 및 운영 경험자 우대 Agile 업무 환경 Scrum Sprint Squad 등 경험자 우대,"관련, 학과, 수학, 통계, 전산, 데이터, 분석, 전공자, 우대, 관련, 서비스, 개발, 및, 운영, 경험, 우대, 업무, 환경, 등, 경험, 우대","ml, agile, scrum, sprint, squad",데이터 사이언티스트
데이터 시각화 도구 Tableau 등 사용이 가능하신 분 ML 프레임워크 Pytorch Tensorflow Keras 등 활용이 가능하신 분 AWS GCP 등 클라우드 사용 경험,"데이터, 시각, 도구, 등, 사용, 분, 프레임워크, 등, 활용, 분, 등, 클라우드, 사용, 경험","tableau, ml, pytorch, tensorflow, keras, aws, gcp",데이터 사이언티스트
관련 분야 석사 박사 학위 소지하신 분 인공지능 컴퓨터공학 통계 데이터분석 등 Data centric AI에 대한 이해도가 높고 관련 개발경험이 있으신 분 자율주행 데이터셋 생성 활용 경험이 있으신 분 이미지 라이다 레이더 등등 2D 3D 데이터셋 경험 Linux 기반 개발 경험이 있으신 분,"관련, 분야, 석사, 박사, 학위, 소지, 분, 인공, 지능, 컴퓨터공학, 통계, 데이터, 분석, 등, 대한, 이해도, 관련, 개발, 경험, 분, 자율, 주행, 데이터, 셋, 생, 활용, 경험, 분, 이미지, 라이, 레이더, 등등, 데이터, 셋, 경험, 기반, 개발, 경험, 분","data, centric, ai, d, d, linux",데이터 사이언티스트
이런 경험이 있으신 분이면 더 좋아요 우대 사항 Data Science 관련 전공 통계학과 수학과 컴퓨터과학 등 석사 이상의 학력을 보유하신 분 B2C 비즈니스에서 머신러닝 모델링 경험이 있으신 분 결과와 과정에 대해 논리적으로 설명할 수 있으신 분 대용량 데이터 처리 분석 Spark 경험이 있으신 분 빠르게 실험하고 반복적인 피드백으로 모델을 개선해 나가시는 분 영어권 국가에서 학위를 취득하셨거나 혹은 영어로 업무가 가능하신 분 데이터 사이언티스트 기술 스택 데이터 처리 분석 라이브러리는 NumPy Pandas Spark 를 사용하고 있습니다 ML DL 라이브러리는 Scikit Learn Pytorch Tensorflow를 사용하고 있습니다 클라우드 컴퓨팅 서비스로 AWS를 사용하고 있습니다,"경험, 더, 우대, 사항, 관련, 전공, 통계학, 수학과, 컴퓨터과학, 등, 석사, 이상, 학력, 보유, 분, 비즈니스, 머신, 러닝, 모델링, 경험, 분, 결과, 과정, 대해, 논리, 설명, 수, 분, 용량, 데이터, 처리, 분석, 경험, 분, 실험, 반복, 피드백, 모델, 개선, 나가시, 분, 영어권, 국가, 학위, 취득, 영어, 업무, 분, 데이터, 티스, 트, 기술, 스택, 데이터, 처리, 분석, 라이브러리, 를, 사용, 라이브러리, 를, 사용, 클라우드, 컴퓨팅, 서비스, 를, 사용","data, science, b, c, spark, numpy, pandas, spark, ml, dl, scikit, learn, pytorch, tensorflow, aws",데이터 사이언티스트
1 데이터 분석 모델링을 실제 서비스에 적용 개선한 경험이 있는 분2 스스로 문제를 정의하고 가설적 구조적 사고 기반의 문제 해결 역량이 뛰어나신 분3 건강 관리 분야에 관심이 많으신 분,"데이터, 분석, 모델링, 실제, 서비스, 적용, 개선, 경험, 분, 스스로, 문제, 정의, 가설, 구조, 사고, 기반, 문제, 해결, 역량, 분, 건강, 관리, 분야, 관심, 분",,데이터 사이언티스트
데이터 사이언스 데이터 마이닝 통계학 등 관련 석사 이상 학위 금융 결제 마케팅 관련 정형 데이터 분야에서의 머신러닝 통계모델링 경험 예측 모형의 결과가 실제 온라인 서비스에 반영되고 A B테스트 수행하고 비즈니스 관점에서도 유의미한 결과를 만들어낸 경험을 가지고 계신 분 모바일 서비스 고객 데이터 관련 분석 기법 Customer Lifetime Value Retention Cohort Analysis Churn prediction 등 에 대한 이해 주도적으로 이슈나 개선점을 찾아내고 새로운 지식을 빠르게 학습하면서 열정적으로 문제를 해결하려는 분 팀원들과 서로 아이디어를 공유하고 논의할 수 있고 유관 부서와 적극적으로 커뮤니케이션 가능하신 분,"데이터, 사이언스, 데이터, 마, 이닝, 통계학, 등, 관련, 석사, 이상, 학위, 금융, 결제, 마케팅, 관련, 정형, 데이터, 분야, 머신, 러닝, 통계, 모델링, 경험, 예측, 모형, 결과, 실제, 온라인, 서비스, 반영, 테스트, 수행, 비즈니스, 관점, 유, 의미, 결과, 경험, 가지, 분, 모바일, 서비스, 고객, 데이터, 관련, 분석, 기법, 등, 대한, 이해, 주도, 이슈, 개선, 점, 지식, 학습, 열정, 문제, 해결, 분, 팀원, 서로, 아이디어, 공유, 논의, 수, 유관, 부서, 적극, 커뮤니케이션, 분","a, b, customer, lifetime, value, retention, cohort, analysis, churn, prediction",데이터 사이언티스트
임상 통계관련 논문 보유자 인공지능 및 머신러닝에 대한 이해도가 깊으신 분 임상시험 진행을 위한 통계 분석 업무 경험 보유자회사위치서울 서초구 효령로77길 28 7층,"임, 통계, 관련, 논문, 보유, 인공, 지능, 및, 머신, 러닝, 대한, 이해도, 분, 임상시험, 진행, 위, 통계, 분석, 업무, 경험, 보유, 자회사, 위치, 서울, 서초구, 효령로, 길, 층",,데이터 사이언티스트
전자전기 및 에너지 도메인에 대한 이해도가 높고 경험이 있으신 분 머신러닝 데이터마이닝 통계 등 관련 분야의 석 박사 학위 관련 분야 논문 등재 AI 모델 개발 후 서비스 배포 등 상용 서비스 구현 경험 사용하는 기술의 원리를 깊게 파악하고 실무에 적용해보신 분 원활한 영어 의사소통 가능자,"전자, 전기, 및, 에너지, 도메인, 대한, 이해도, 경험, 분, 머신, 러닝, 데이터마이닝, 통계, 등, 관련, 분야, 석, 박사, 학위, 관련, 분야, 논문, 등재, 모델, 개발, 후, 서비스, 배포, 등, 상용, 서비스, 구현, 경험, 사용, 기술, 원리, 파악, 실무, 적용, 분, 영어, 의사소통, 가능",ai,데이터 사이언티스트
Deep Learning 프로젝트 수행 가능자 석 박사 학위자 관련 전공 졸업 통계학 산업공학 경영정보학 컴퓨터공학 경영학 경제학 등 데이터 분석 프로젝트 2년 이상 유경험자 딥러닝 프레임워크를 사용한 딥러닝 분석 수행 가능자 Linux shell script 및 프로그래밍 언어 java python 등 를 이용하여 분석을 위한 data manipulation 및 algorithms customizing 가능자 Data Visualization Tool tableau spotfire d3 js 등 활용 능력,"프로젝트, 수행, 가능, 석, 박사, 학위, 관련, 전공, 졸업, 통계학, 산업, 공학, 경영정보학, 컴퓨터공학, 경영학, 경제학, 등, 데이터, 분석, 프로젝트, 이상, 유, 경험, 딥, 러닝, 프레임워크, 사용, 딥, 러닝, 분석, 수행, 가능, 및, 프로그래밍, 언어, 등, 를, 이용, 분석, 위, 및, 가능, 등, 활용, 능력","deep, learning, linux, shell, script, java, python, data, manipulation, algorithms, customizing, data, visualization, tool, tableau, spotfire, d, js",데이터 사이언티스트
기술 트렌드에 관심이 있고 지속적으로 학습하는 분 새로운 도메인 지식을 배우려는 의지가 있는 분 End to end로 데이터 프로덕트를 만들고 싶은 분,"기술, 트렌드, 관심, 지속, 학습, 분, 도메인, 지식, 의지, 분, 로, 데이터, 프로덕트, 분","end, to, end",데이터 사이언티스트
전자전기 및 에너지 도메인에 대한 이해도가 높고 경험이 있으신 분 머신러닝 데이터마이닝 통계 등 관련 분야의 석 박사 학위 관련 분야 논문 등재 AI 모델 개발 후 서비스 배포 등 상용 서비스 구현 경험 사용하는 기술의 원리를 깊게 파악하고 실무에 적용해보신 분 원활한 영어 의사소통 가능자,"전자, 전기, 및, 에너지, 도메인, 대한, 이해도, 경험, 분, 머신, 러닝, 데이터마이닝, 통계, 등, 관련, 분야, 석, 박사, 학위, 관련, 분야, 논문, 등재, 모델, 개발, 후, 서비스, 배포, 등, 상용, 서비스, 구현, 경험, 사용, 기술, 원리, 파악, 실무, 적용, 분, 영어, 의사소통, 가능",ai,데이터 사이언티스트
이커머스 관련 분야 업무 경험이 있으신 분 마케팅 솔루션 마케팅 분야 업무 경험이 있으신 분 AWS GCP 등의 클라우드 서비스 사용 경험이 있으신 분 TensorFlow Keras Pytorch 등 Deep Learning Framework 사용 경험이 있으신 분 Spark 또는 Ray를 활용한 분산 병렬 처리 프레임워크 경험이 있으신 분 Kaggle 대회 입상자,"이커머스, 관련, 분야, 업무, 경험, 분, 마케팅, 솔루션, 마케팅, 분야, 업무, 경험, 분, 등, 클라우드, 서비스, 사용, 경험, 분, 등, 사용, 경험, 분, 를, 활용, 분산, 병렬, 처리, 프레임워크, 경험, 분, 대회, 입상","aws, gcp, tensorflow, keras, pytorch, deep, learning, framework, spark, ray, kaggle",데이터 사이언티스트
통계학 수학 전공자 우대 보다 뛰어난 예측 모델을 개발하기 위한 연구에 관심있는 분 안전 운전과 교통 환경에 대한 관심이 높은 분 데이터사이언스팀 리딩 경험,"통계학, 수학, 전공자, 우대, 예측, 모델, 개발, 위, 연구, 관심, 분, 안전, 운전, 교통, 환경, 대한, 관심, 분, 데이터, 스팀, 리딩, 경험",,데이터 사이언티스트
AWS GCP 등의 클라우드 서비스를 경험해보신 분 텍스트 기반 컨텐츠 관련 ML 프로젝트를 진행하신 분 PM 엔지니어등 비연구원과의 소통에 강점이 있으신 분 Kubernetes Airflow 에 익숙하신 분,"등, 클라우드, 서비스, 경험, 분, 텍스트, 기반, 컨텐츠, 관련, 프로젝트, 진행, 분, 엔지니어, 등, 비연, 구원, 소통, 강점, 분, 분","aws, gcp, ml, pm, kubernetes, airflow",데이터 사이언티스트
PhD degree in a quantitative discipline Ability to manage multiple projects at the same time while paying attention to detail and translate analysis results into business recommendations Proven ability to own projects end to end even when you have to get creative you do more than completing delegated tasks Demonstrated leadership and self direction Willingness to both teach others and learn new techniques,,"phd, degree, in, a, quantitative, discipline, ability, to, manage, multiple, projects, at, the, same, time, while, paying, attention, to, detail, and, translate, analysis, results, into, business, recommendations, proven, ability, to, own, projects, end, to, end, even, when, you, have, to, get, creative, you, do, more, than, completing, delegated, tasks, demonstrated, leadership, and, self, direction, willingness, to, both, teach, others, and, learn, new, techniques",데이터 사이언티스트
기상관련 데이터 경험 머신러닝 관련 모델링 도구 경험자 Tensorflow PyTorch 등 데이터 분석 경험자 R Tableau 등,"기상, 관련, 데이터, 경험, 머신, 러닝, 관련, 모델링, 도구, 경험, 등, 데이터, 분석, 경험, 등","tensorflow, pytorch, r, tableau",데이터 사이언티스트
통계학 수학 전공자 우대 보다 뛰어난 예측 모델을 개발하기 위한 연구에 관심있는 분 안전 운전과 교통 환경에 대한 관심이 높은 분 데이터사이언스팀 리딩 경험,"통계학, 수학, 전공자, 우대, 예측, 모델, 개발, 위, 연구, 관심, 분, 안전, 운전, 교통, 환경, 대한, 관심, 분, 데이터, 스팀, 리딩, 경험",,데이터 사이언티스트
3년 이상 대규모 시스템 경험이 있으신 분 뛰어난 의사소통 능력 구두 서면 을 보유하신 분 팀을 성공적으로 이끌어본 경험이 있으신 분,"이상, 대규모, 시스템, 경험, 분, 의사소통, 능력, 구두, 서면, 보유, 분, 팀, 성공, 경험, 분",,데이터 사이언티스트
통계 분석과 ML 알고리즘 지식과 실무 경험이 있으신 분 A B 테스트 계획과 결과 분석 및 의견 제시 경험이 있으신 분,"통계, 분석, 알고리즘, 지식, 실무, 경험, 분, 테스트, 계획, 결과, 분석, 및, 의견, 제시, 경험, 분","ml, a, b",데이터 사이언티스트
이커머스 관련 분야 업무 경험이 있으신 분 마케팅 솔루션 마케팅 분야 업무 경험이 있으신 분 AWS GCP 등의 클라우드 서비스 사용 경험이 있으신 분 TensorFlow Keras Pytorch 등 Deep Learning Framework 사용 경험이 있으신 분 Spark 또는 Ray를 활용한 분산 병렬 처리 프레임워크 경험이 있으신 분 Kaggle 대회 입상자,"이커머스, 관련, 분야, 업무, 경험, 분, 마케팅, 솔루션, 마케팅, 분야, 업무, 경험, 분, 등, 클라우드, 서비스, 사용, 경험, 분, 등, 사용, 경험, 분, 를, 활용, 분산, 병렬, 처리, 프레임워크, 경험, 분, 대회, 입상","aws, gcp, tensorflow, keras, pytorch, deep, learning, framework, spark, ray, kaggle",데이터 사이언티스트
비정형 데이터를 다양한 기술을 활용해서 유의미한 정보로 만들 수 있는 분 정말 큰 양의 데이터를 Airflow나 DBT와 같은 도구를 활용해 효율적으로 분석에 활용할 수 있는 분 코드를 통해 사람들이 사용할만한 가치있는 것을 만들어본 경험이 있으신 분 프로덕트를 만드는 과정에 직접적으로 참여해서 어떻게 프로덕트를 만들어가는지 잘 이해하시는 분,"비정, 데이터, 기술, 활용, 유, 의미, 정보, 수, 분, 정말, 양, 데이터, 나, 도구, 활용, 효율, 분석, 활용, 수, 분, 코드, 통해, 사람, 사용, 가치, 것, 경험, 분, 프로덕트, 과정, 직접, 참여, 프로덕트, 이해, 분","airflow, dbt",데이터 사이언티스트
컴퓨터과학 통계학 수학 빅데이터 등 관련 전공자 학사 또는 석사 오픈 소스 분석 및 개발 경험이 있으신 분 데이터 가공 분석 모델링 전체 프로세스 경험이 있는 분 이미지 처리 또는 자연어 처리 프로젝트 경험이 있는 분,"컴퓨터과학, 통계학, 수학, 빅데이터, 등, 관련, 전공자, 학사, 석사, 오픈, 소스, 분석, 및, 개발, 경험, 분, 데이터, 가공, 분석, 모델링, 전체, 프로세스, 경험, 분, 이미지, 처리, 자연어, 처리, 프로젝트, 경험, 분",,데이터 사이언티스트
BI Tool을 사용해 인사이트 도출해 본 경험이 있는 분 통계학 컴퓨터 공학 등 관련 전공 졸업자 로그 수준의 데이터 가공부터 분석 모델링까지의 전체 데이터 분석 프로세스를 경험하신 분 자기주도적으로 일을 하시는 분 새로운 기술이나 업무에 대한 도전정신이 강하신 분 분석을 통해 도출된 의견을 논리적이고 체계적으로 제시할 수 있는 분 다양한 유관부서의 실무자 및 경영진과 커뮤니케이션 할 수 있는 분 어떤 일이라도 중요하게 여기며 책임감 있게 진행할 수 있으신 분,"사용, 인사이트, 도출, 경험, 분, 통계학, 컴퓨터, 공학, 등, 관련, 전공, 졸업, 로그, 수준, 데이터, 가공, 분석, 모델링, 전체, 데이터, 분석, 프로세스, 경험, 분, 자기, 주도, 일, 분, 기술, 업무, 대한, 도전, 정신, 분, 분석, 통해, 도출, 의견, 논리, 체계, 제시, 수, 분, 유관, 부서, 실무, 및, 경영, 진과, 커뮤니케이션, 수, 분, 일이, 여기, 책임감, 진행, 수, 분","bi, tool",데이터 사이언티스트
Server 혹은 Client side에 ML model을 적용해본 경험이 있으신 분 ML팀이나 프로젝트를 리딩하셨던 경험이 있으신 분 대용량 데이터 가공 처리 경험이 있으신 분,"적용, 경험, 분, 팀, 프로젝트, 리딩, 경험, 분, 용량, 데이터, 가공, 처리, 경험, 분","server, client, side, ml, model, ml",데이터 사이언티스트
데이터 분석 솔루션이나 플랫폼 구축 프로젝트 경험이 있는 분 GNN Graph Neural Network 에 관한 경험이 있는 분 데이터 가공 분석 모델링 전체 프로세스 경험이 있는 분 자연어 처리 프로젝트 경험이 있는 분 프로젝트 포트폴리오 Git Blog 첨부 가능한 분,"데이터, 분석, 솔루션, 플랫폼, 구축, 프로젝트, 경험, 분, 관, 경험, 분, 데이터, 가공, 분석, 모델링, 전체, 프로세스, 경험, 분, 자연어, 처리, 프로젝트, 경험, 분, 프로젝트, 포트폴리오, 첨부, 분","gnn, graph, neural, network, git, blog",데이터 사이언티스트
음악산업을 숫자로 이해하려는 의지가 강하신 분 통계 경제학 전공자 학사 또는 석사 API 또는 크롤링을 활용한 다양한 데이터 수집 방법론에 대해 익숙하신 분 Data Lake Mart 구축 및 기초적인 데이터 엔지니어링에 대해 배우려는 의지가 강하신 분 AWS GCP등 클라우드 인프라에 대한 이해와 사용 경험,"음악, 산업, 숫자, 이해, 의지, 분, 통계, 경제학, 전공자, 학사, 석사, 롤링, 활용, 데이터, 수집, 방법론, 대해, 분, 구축, 및, 기초, 데이터, 엔지니어링, 대해, 의지, 분, 등, 클라우드, 인프라, 대한, 이해, 사용, 경험","api, data, lake, mart, aws, gcp",데이터 애널리스트
이런 분이면 더욱 좋아요 논문 및 특허 작성 경험 최신 논문 내용을 구현 가능한 분 최신 시계열 이미지 및 영상 딥러닝 머신러닝 알고리즘 작성자 컴퓨터공학 산업공학 전기전자 관련 학위,"더욱, 논문, 및, 특허, 작성, 경험, 최신, 논문, 내용, 구현, 분, 최신, 시계열, 이미지, 및, 영상, 딥, 러닝, 머신, 러닝, 알고리즘, 작성자, 컴퓨터공학, 산업, 공학, 전기, 전자, 관련, 학위",,데이터 애널리스트
GIS 데이터 활용 경험 저널이나 Top tier 학회 논문 출판,"데이터, 활용, 경험, 널, 학회, 논문, 출판","gis, top, tier",데이터 애널리스트
이런 분이면 더욱 좋아요 논문 및 특허 작성 경험 최신 논문 내용을 구현 가능한 분 최신 시계열 이미지 및 영상 딥러닝 머신러닝 알고리즘 작성자 컴퓨터공학 산업공학 전기전자 관련 학위,"더욱, 논문, 및, 특허, 작성, 경험, 최신, 논문, 내용, 구현, 분, 최신, 시계열, 이미지, 및, 영상, 딥, 러닝, 머신, 러닝, 알고리즘, 작성자, 컴퓨터공학, 산업, 공학, 전기, 전자, 관련, 학위",,데이터 애널리스트
이런 경험이나 성향 역량을 가진 분이라면 더욱 좋을 것 같아요 데이터 레이블링 라벨링 업무 경험자 데이터 검수 경험자 의료 데이터 관련 업무 수행자,"경험, 성향, 역량, 더욱, 것, 데이터, 레이블, 링, 라벨, 링, 업무, 경험, 데이터, 검수, 경험, 의료, 데이터, 관련, 업무, 수행자",,데이터 애널리스트
이런 분이면 더 좋아요 클라우드 환경에서 데이터 분석을 해본 분 AWS GCP 프로덕트 조직에서 A B 테스트 경험이 있는 분 분석툴을 활용한 업무 경험이 있는 분 Amplitude Mixpanel 대시보드 툴을 활용해 본 분 Redash Tableau QuickSight 팀 전체가 데이터를 더 잘 볼 수 방법에 대해 고민하는 분,"더, 클라우드, 환경, 데이터, 분석, 분, 프로, 덕트, 조직, 테스트, 경험, 분, 분석툴, 활용, 업무, 경험, 분, 대시보드, 툴, 활용, 분, 팀, 전체, 데이터, 더, 볼, 수, 방법, 대해, 고민, 분","aws, gcp, a, b, amplitude, mixpanel, redash, tableau, quicksight",데이터 애널리스트
이런 분이면 더욱 좋아요 논문 및 특허 작성 경험 이미지 및 영상 데이터 프로젝트 경험 최신 논문 내용을 구현 가능한 분 최신 시계열 딥러닝 머신러닝 알고리즘 작성자 컴퓨터공학 산업공학 전기전자 관련 학위,"더욱, 논문, 및, 특허, 작성, 경험, 이미지, 및, 영상, 데이터, 프로젝트, 경험, 최신, 논문, 내용, 구현, 분, 최신, 시계열, 딥, 러닝, 머신, 러닝, 알고리즘, 작성자, 컴퓨터공학, 산업, 공학, 전기, 전자, 관련, 학위",,데이터 애널리스트
