req,Kor,Eng,label
관련 업무 경력 3년 이상인 분 시계열 데이터를 분석하여 예측에 대한 경험이 있는 분 논문 등 알고리즘에 대해 분석 후 구현 경험이 있는 분 통계분석 인공지능 머신러닝 관련 석 박사학위 또는 이에 준하는 경력을 소지하신 분 Python 언어 사용 가능,"관련, 업무, 경력, 이상인, 분, 시계열, 데이터, 분석, 예측, 대한, 경험, 분, 논문, 등, 알고리즘, 대해, 분석, 후, 구현, 경험, 분, 통계, 분석, 인공, 지능, 머신, 러닝, 관련, 석, 박사학위, 이, 준, 경력, 소지, 분, 언어, 사용, 가능",python,데이터 사이언티스트
데이터 사이언스 관련 기업 근무 연구활동 등 업무 수행 경험 블록체인 관련 기업 근무 연구활동 등 업무 수행 경험 데이터 분석 및 머신러닝 관련 언어 SQL HQL Python R 등 활용 역량 온체인 데이터 분석에 대한 이해도 보유자 선호,"데이터, 사이언스, 관련, 기업, 근무, 연구, 활동, 등, 업무, 수행, 경험, 블록, 체인, 관련, 기업, 근무, 연구, 활동, 등, 업무, 수행, 경험, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 활용, 역량, 체인, 데이터, 분석, 대한, 이해도, 보유, 선호","sql, hql, python, r",데이터 사이언티스트
데이터 사이언스 관련 실무 경력 7년 이상 또는 그에 준하는 역량 보유 대용량 데이터 분석 및 머신러닝 관련 언어 SQL HQL Python R 등 활용 능력 대용량 데이터 분석을 통해 문제를 정의하고 해결할 수 있는 능력 관련 알고리즘에 대한 논문 작성 등 분석 후 구현 경험 블록체인에 대한 비지니스적 기술적 이해도 보유자 선호 Complex Network Modeling 관련 실무경험 보유자 선호,"데이터, 사이언스, 관련, 실무, 경력, 이상, 그, 준, 역량, 보유, 용량, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 활용, 능력, 용량, 데이터, 분석, 통해, 문제, 정의, 해결, 수, 능력, 관련, 알고리즘, 대한, 논문, 작성, 등, 분석, 후, 구현, 경험, 블록, 체인, 대한, 비지니스, 기술, 이해도, 보유, 선호, 관련, 실무, 경험, 보유, 선호","sql, hql, python, r, complex, network, modeling",데이터 사이언티스트
관련 업무 경력 5 10년 데이터 상용화 모델링 개발역량 등 Machine Learnig 활용 데이터 분석 가능python JAVA 개발 가능자다양한 분석 툴 SQL R 등 활용 가능고객 상품 브랜드 분석 및 비즈니스 관련 인사이트 도출 경험,"관련, 업무, 경력, 데이터, 상용, 모델링, 개발, 역량, 등, 활용, 데이터, 분석, 가능, 개발, 가능, 분석, 툴, 등, 활용, 가능, 고객, 상품, 브랜드, 분석, 및, 비즈니스, 관련, 인사이트, 도출, 경험","machine, learnig, python, java, sql, r",데이터 사이언티스트
경력사항 데이터 모델링 경력 5년 이상,"경력, 사항, 데이터, 모델링, 경력, 이상",,데이터 사이언티스트
관련 분야 경력 4년 이상이신 분 Computer vision Image Video processing 이론에 대한 전반적인 이해가 있으신 분 딥러닝 프레임워크 Tensorflow PyTorch 등 를 활용한 모델 개발 및 배포 경험이 있으신 분 대용량 데이터를 분석 및 시각화해본 경험이 있으신 분 해외 출장에 결격 사유가 없는 분 팀원들과 적극적으로 소통할 수 있는 분 주도적으로 업무를 이끌어가시는 분 제출서류 자율 양식의 이력서 필수 포함내용 성향 및 업무 가치관 개발경험 성공 및 실패 경험 협업 or 프로젝트 진행 관련 개발 성과 협업 경험을 보여줄 수 있는 포트폴리오,"관련, 분야, 경력, 이상, 분, 이론, 대한, 전반, 이해, 분, 딥, 러닝, 프레임워크, 등, 를, 활용, 모델, 개발, 및, 배포, 경험, 분, 용량, 데이터, 분석, 및, 시각, 경험, 분, 해외, 출장, 결격, 사유, 분, 팀원, 적극, 소통, 수, 분, 주도, 업무, 분, 제출, 서류, 자율, 양식, 이력서, 필수, 포함, 내용, 성향, 및, 업무, 가치관, 개발, 경험, 성공, 및, 실패, 경험, 협업, 프로젝트, 진행, 관련, 개발, 성과, 협업, 경험, 수, 포트폴리오","computer, vision, image, video, processing, tensorflow, pytorch, or",데이터 사이언티스트
데이터 사이언티스트로 이런 분을 찾아요 3년 이상의 ML DL 모델링에 기반한 프로젝트 실무 경험이 있으신 분 개인화 추천 및 고객 경험 관련 모델링 경험이 있으신 분 이커머스 및 거래 데이터 도메인에 대한 이해도 혹은 관련 근무 경험이 있으신 분 Python과 SQL 프로그래밍을 능숙하게 다룰 수 있으신 분 ML DL에 대한 동작 방식과 수학적 원리에 대한 이해도가 있으신 분 함께 협업하는 사람들과 유연하게 의사소통 할 수 있으신 분,"데이터, 사이언티, 스트로, 분, 이상, 모델링, 기반, 프로젝트, 실무, 경험, 분, 개인화, 추천, 및, 고객, 경험, 관련, 모델링, 경험, 분, 이커머스, 및, 거래, 데이터, 도메인, 대한, 이해도, 관련, 근무, 경험, 분, 과, 프로그래밍, 수, 분, 대한, 동작, 방식, 수학, 원리, 대한, 이해도, 분, 협업, 사람, 의사소통, 수, 분","ml, dl, python, sql, ml, dl",데이터 사이언티스트
1 Data Science 관련 전공자 통계 수학 컴퓨터공학 산업공학 등 또는 그에 해당하는 지식을 갖추신 분2 ML DL 모델링 업무 경력 4 10년 이하 이신 분2 추천 알고리즘 자연어 처리 NLP Clustering 예측 모델 수립 최적화 경험이 있는 분3 여러 ML DL 기법들에 대한 이해도가 높으신 분4 SQL Python 등 통계 분석 프로그램을 능숙하게 다루시는 분5 데이터 분석 모델링 결과 및 비즈니스 대안을 전공자 관점에서 쉽고 명확하게 전달 가능하신 분,"관련, 전공자, 통계, 수학, 컴퓨터공학, 산업, 공학, 등, 그, 해당, 지식, 분, 모델링, 업무, 경력, 이하, 이신, 분, 추천, 알고리즘, 자연어, 처리, 예측, 모델, 수립, 최적화, 경험, 분, 여러, 기법, 대한, 이해도, 분, 등, 통계, 분석, 프로그램, 분, 데이터, 분석, 모델링, 결과, 및, 비즈니스, 대안, 전공자, 관점, 전달, 분","data, science, ml, dl, nlp, clustering, ml, dl, sql, python",데이터 사이언티스트
데이터 관련 프로젝트 또는 실무 경험을 2년 이상 가지고 계신 분 모바일 서비스 관련 데이터 관련 경험 데이터 분석 및 머신러닝 관련 언어 Python SQL R 등 를 능숙하게 활용하실 수 있는 분 주도적으로 끈질기게 데이터를 살펴서 데이터에 관련된 인사이트를 발굴해내고 이슈를 해결하는 문제 해결 능력을 가지고 계신 분,"데이터, 관련, 프로젝트, 실무, 경험, 이상, 가지, 분, 모바일, 서비스, 관련, 데이터, 관련, 경험, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 를, 활용, 수, 분, 주도, 데이터, 데이터, 관련, 인사이트, 발굴, 이슈, 해결, 문제, 해결, 능력, 가지, 분","python, sql, r",데이터 사이언티스트
Data Science 관련 통계 컴퓨터공학 산업공학 수학 등 석사 이상 학위 소유자 또는 이에 준하는 관련 분야 경력 3년 이상 Python R SQL 등 데이터 분석 tool 및 Splunk Tableau 등 데이터 시각화 tool 활용 가능하신 분 의료 데이터 분석 경험 있으신 분 의료 분야에 대한 관심과 데이터를 통한 새로운 임상 가치 창출에 열정이 있는 분,"관련, 통계, 컴퓨터공학, 산업, 공학, 수학, 등, 석사, 이상, 학위, 소유자, 이, 준, 관련, 분야, 경력, 이상, 등, 데이터, 분석, 및, 등, 데이터, 시각, 활용, 분, 의료, 데이터, 분석, 경험, 분, 의료, 분야, 대한, 관심, 데이터, 통한, 임, 가치, 창, 열정, 분","data, science, python, r, sql, tool, splunk, tableau, tool",데이터 사이언티스트
AI 관련 학위 또는 실무 경험 7년 이상 석 박사 경력 인정 머신러닝 프로젝트 리딩 경험 논문을 이해하고 구현 할 수 있는 연구 및 개발 능력 데이터 기반 실험 및 모델을 실 서비스에 적용하고 개선하여 비즈니스 임팩트를 창출해 본 경험이 있으신분 다양한 직군과의 원활한 의사소통 및 협업이 가능하신 분 스스로 문제를 찾고 개선하고자 하는 분,"관련, 학위, 실무, 경험, 이상, 석, 박사, 경력, 인정, 머신, 러닝, 프로젝트, 리딩, 경험, 논문, 이해, 구현, 수, 연구, 및, 개발, 능력, 데이터, 기반, 실험, 및, 모델, 실, 서비스, 적용, 개선, 비즈니스, 임팩트, 창, 경험, 신분, 직, 의사소통, 및, 협업, 분, 스스로, 문제, 개선, 분",ai,데이터 사이언티스트
Python을 이용한 Data Analysis Process 수행 가능자 데이터 추출 핸들링 EDA Statistical Analysis Data Mining Report Deployment 등 일련의 분석 모델 개발 프로젝트 수행 Query 작성을 통해 필요 데이터에 대한 다양한 Manipulation 데이터 전처리 분석 마트 구축 등 이 가능한 자 R을 활용한 데이터 전처리 및 분석모델 개발 가능자,"이용, 수행, 가능, 데이터, 추출, 핸들링, 등, 일련, 분석, 모델, 개발, 프로젝트, 수행, 작성, 통해, 필요, 데이터, 대한, 데이터, 처리, 분석, 마트, 구축, 등, 이, 자, 활용, 데이터, 처리, 및, 분석, 모델, 개발, 가능","python, data, analysis, process, eda, statistical, analysis, data, mining, report, deployment, query, manipulation, r",데이터 사이언티스트
3년 이상의 데이터 모델링 분석 혹은 서빙 시스템 개발 경력이 있거나 그에 준하는 실력을 갖추신 분 Python SQL Spark Hadoop 등을 사용하여 대용량 데이터로 모델링 하실 수 있는 분 데이터를 활용한 알고리즘 및 머신러닝에 대한 수리적 통계적 지식이 있는 분 머신러닝 논문을 읽고 실제 서비스로 구현한 경험이 있는 분 비즈니스 이슈를 해결하기 위해 데이터 기반으로 문제를 정의할 수 있는 분 팀 플레이어로서 동료들과 함께 협력하여 문제를 해결해 나가시는 분 데이터 엔지니어부터 세일즈까지 다양한 직군의 동료들과 원활하게 커뮤니케이션 가능한 분,"이상, 데이터, 모델링, 분석, 서빙, 시스템, 개발, 경력, 그, 준, 실력, 분, 등, 사용, 용량, 데이터, 모델링, 수, 분, 데이터, 활용, 알고리즘, 및, 머신, 러닝, 대한, 수리, 통계, 지식, 분, 머신, 러닝, 논문, 실제, 서비스, 구현, 경험, 분, 비즈니스, 이슈, 해결, 위해, 데이터, 기반, 문제, 정의, 수, 분, 팀, 플레이어, 로서, 동료, 협력, 문제, 해결, 나가시, 분, 데이터, 엔지니어, 까, 직, 동료, 커뮤니케이션, 분","python, sql, spark, hadoop",데이터 사이언티스트
AI 관련 학위 또는 실무 경험 2년 이상 석 박사 경력 인정 머신러닝 프로젝트 경험 논문을 이해하고 구현 할 수 있는 연구 및 개발 능력 다양한 직군과의 원활한 의사소통 및 협업이 가능하신 분 스스로 문제를 찾고 개선하고자 하는 분,"관련, 학위, 실무, 경험, 이상, 석, 박사, 경력, 인정, 머신, 러닝, 프로젝트, 경험, 논문, 이해, 구현, 수, 연구, 및, 개발, 능력, 직, 의사소통, 및, 협업, 분, 스스로, 문제, 개선, 분",ai,데이터 사이언티스트
통계학과 수학 데이터 분석 학과 등 관련 전공자 관련 경력 3년 이상 또는 석사 졸업 이상 및 관련 경력 1년 이상,"통계학, 수학, 데이터, 분석, 학과, 등, 관련, 전공자, 관련, 경력, 이상, 석사, 졸업, 이상, 및, 관련, 경력, 이상",,데이터 사이언티스트
데이터사이언티스트 경력 5년 이상 석사 대학원 이상 학위 소지자 Python R 등 통계 분석 프로그램 능숙자 ML DL에 대한 수학적 이해와 통계적 지식 보유자 분석 예측 모델 알고리즘 관련 연구 경험,"데이터, 티스, 트, 경력, 이상, 석사, 대학원, 이상, 학위, 소지, 등, 통계, 분석, 프로그램, 능, 숙자, 대한, 수학, 이해, 통계, 지식, 보유, 분석, 예측, 모델, 알고리즘, 관련, 연구, 경험","python, r, ml, dl",데이터 사이언티스트
다양한 형태의 데이터 분석 및 모델링 가능하신 분 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식이 있는 분 최신 알고리즘을 활용하여 실제 비즈니스 문제 해결 경험이 있으신 분 3년 이상 유관 업무 경험을 보유하신 분 원활한 커뮤니케이션을 통해 분석 및 모델링 결과를 동료들과 소통 할 수 있는 분,"형태, 데이터, 분석, 및, 모델링, 분, 데이터, 및, 머신, 러닝, 대한, 수학, 이해, 통계, 지식, 분, 최신, 알고리즘, 활용, 실제, 비즈니스, 문제, 해결, 경험, 분, 이상, 유관, 업무, 경험, 보유, 분, 커뮤니케이션, 통해, 분석, 및, 모델링, 결과, 동료, 소통, 수, 분",,데이터 사이언티스트
Master s degree in a quantitative discipline e g Statistics Operations Research Bioinformatics Economics Computational Biology Computer Science Mathematics Physics Electrical Engineering Industrial Engineering or equivalent research experience 5 years of work experience in data science related fields Distinctive problem solving skills good at articulating product questions pulling data from large datasets and using statistics to arrive at a recommendation Excellent verbal and written communication skills with ability to present information and analysis results effectively Ability to build positive relationships within DSA and with our stakeholders and work effectively with cross functional partners in a global company Statistics must have strong knowledge and experience in experimental design hypothesis testing and various statistical analysis techniques such as regression or linear models Machine Learning must have deep understanding of ML algorithms i e deep learning random forest gradient boosted trees k means clustering etc and its development validation and evaluation Programming experience with Python R or other scripting language and database language e g SQL or data manipulation e g Pandas Dplyr are required,,"master, s, degree, in, a, quantitative, discipline, e, g, statistics, operations, research, bioinformatics, economics, computational, biology, computer, science, mathematics, physics, electrical, engineering, industrial, engineering, or, equivalent, research, experience, years, of, work, experience, in, data, science, related, fields, distinctive, problem, solving, skills, good, at, articulating, product, questions, pulling, data, from, large, datasets, and, using, statistics, to, arrive, at, a, recommendation, excellent, verbal, and, written, communication, skills, with, ability, to, present, information, and, analysis, results, effectively, ability, to, build, positive, relationships, within, dsa, and, with, our, stakeholders, and, work, effectively, with, cross, functional, partners, in, a, global, company, statistics, must, have, strong, knowledge, and, experience, in, experimental, design, hypothesis, testing, and, various, statistical, analysis, techniques, such, as, regression, or, linear, models, machine, learning, must, have, deep, understanding, of, ml, algorithms, i, e, deep, learning, random, forest, gradient, boosted, trees, k, means, clustering, etc, and, its, development, validation, and, evaluation, programming, experience, with, python, r, or, other, scripting, language, and, database, language, e, g, sql, or, data, manipulation, e, g, pandas, dplyr, are, required",데이터 사이언티스트
관련 업무 경력 3년 이상인 분 시계열 데이터를 분석하여 예측에 대한 경험이 있는 분 논문 등 알고리즘에 대해 분석 후 구현 경험이 있는 분 통계분석 인공지능 머신러닝 관련 석 박사학위 또는 이에 준하는 경력을 소지하신 분 Python 언어 사용 가능,"관련, 업무, 경력, 이상인, 분, 시계열, 데이터, 분석, 예측, 대한, 경험, 분, 논문, 등, 알고리즘, 대해, 분석, 후, 구현, 경험, 분, 통계, 분석, 인공, 지능, 머신, 러닝, 관련, 석, 박사학위, 이, 준, 경력, 소지, 분, 언어, 사용, 가능",python,데이터 사이언티스트
데이터사이언티스트 경력 5년 이상 석사 대학원 이상 학위 소지자 Python R 등 통계 분석 프로그램 능숙자 ML DL에 대한 수학적 이해와 통계적 지식 보유자 분석 예측 모델 알고리즘 관련 연구 경험,"데이터, 티스, 트, 경력, 이상, 석사, 대학원, 이상, 학위, 소지, 등, 통계, 분석, 프로그램, 능, 숙자, 대한, 수학, 이해, 통계, 지식, 보유, 분석, 예측, 모델, 알고리즘, 관련, 연구, 경험","python, r, ml, dl",데이터 사이언티스트
관련학과 졸업 BI R,"관련, 학과, 졸업","bi, r",데이터 사이언티스트
웹 앱 서비스 데이터 분석 경력 2년 이상 혹은 그에 상응하는 업무 능력 보유 중급 이상의 SQL 능력 R 또는 Python을 이용한 데이터 분석 시각화 및 머신러닝 수행 능력을 보유하신 분,"웹, 앱, 서비스, 데이터, 분석, 경력, 이상, 그, 상응, 업무, 능력, 보유, 중, 이상, 능력, 이용, 데이터, 분석, 시각, 및, 머신, 러닝, 수행, 능력, 보유, 분","sql, r, python",데이터 사이언티스트
통계학과 수학 데이터 분석 학과 등 관련 전공자 관련 경력 3년 이상 또는 석사 졸업 이상 및 관련 경력 1년 이상,"통계학, 수학, 데이터, 분석, 학과, 등, 관련, 전공자, 관련, 경력, 이상, 석사, 졸업, 이상, 및, 관련, 경력, 이상",,데이터 사이언티스트
3년 이상의 데이터 도메인에서 임팩트를 낸 경험이 있으신 분 복잡한 문제에 대해서 문제정의를 잘 할 수 있는 분 통계를 활용해서 데이터나 의사결정 과정에서 발생할 수 있는 편향을 제거할 수 있는 분 데이터를 통해 얻은 정보를 누구나 이해할 수 있는 형태로 설명할 수 있는 분 A B 테스트와 인과 추론에 대한 깊은 통계적 이해를 가지신 분,"이상, 데이터, 도메인, 임팩트, 경험, 분, 문제, 대해, 정의, 수, 분, 통계, 활용, 데이터, 의사결정, 과정, 발생, 수, 편향, 제거, 수, 분, 데이터, 통해, 정보, 누구, 이해, 수, 형태, 설명, 수, 분, 테스트, 인과, 추론, 대한, 통계, 이해, 분","a, b",데이터 사이언티스트
전공 무관 4년제 대학교 학사 또는 석사 2년 이상의 Data Analyst Data Scientist 경험이 있으신 분 복잡한 RDB에서 SQL로 데이터 추출하고 Python으로 분석한 경험 정형 비정형 데이터 ML을 통해 모델링을 한 경험,"전공, 무관, 대학교, 학사, 석사, 이상, 경험, 분, 로, 데이터, 추출, 분석, 경험, 정형, 비정, 데이터, 통해, 모델링, 경험","data, analyst, data, scientist, rdb, sql, python, ml",데이터 사이언티스트
Python 또는 SQL 언어를 통해 데이터 핸들링 및 결과 리포팅이 가능하신 분 Tensorflow Pytorch 등 프레임워크를 사용한 모델링 경험이 있으신 분 Raw Data를 수집 정제하고 인사이트를 도출해 본 경험이 있는 분 SQL 등을 통해 복잡한 데이터 셋에서 원하는 데이터를 추출 및 가공할 수 있으신 분 통계적인 지식에 기반한 가설검증 및 인사이트 도출이 가능하신 분,"언어, 통해, 데이터, 핸들링, 및, 결과, 리, 포팅, 분, 등, 프레임워크, 사용, 모델링, 경험, 분, 를, 수집, 정제, 인사이트, 도출, 경험, 분, 등, 통해, 데이터, 셋, 데이터, 추출, 및, 가공, 수, 분, 통계, 지식, 기반, 가설검증, 및, 인사이트, 도출, 분","python, sql, tensorflow, pytorch, raw, data, sql",데이터 사이언티스트
관련 분야 개발 경력 6년 이상이신분 최소 3년 이상의 ML관련 경험 아직 정의되지 않은 문제를 해결하려는 적극적인 자세를 갖추신 분 Keras Tensorflow PyTorch등을 이용한 모델링 경험이 있으신 분 자체 개발한 모델을 이용한 서비스 경험이 있으신 분 단순 논문 구현 제외,"관련, 분야, 개발, 경력, 이상, 신분, 최소, 이상, 관련, 경험, 정의, 문제, 해결, 적극, 자세, 분, 등, 이용, 모델링, 경험, 분, 자체, 개발, 모델, 이용, 서비스, 경험, 분, 단순, 논문, 구현, 제외","ml, keras, tensorflow, pytorch",데이터 사이언티스트
프로덕션 레벨의 ML모델 개발 프로세스에 대한 이해 및 프로젝트 경험이 있는 분 데이터 모델링을 통해 비즈니스 문제를 해결해 보신 분 데이터 분석가 데이터 엔지니어 및 타 부서와의 커뮤니케이션이 원활한 분 Python SQL을 능숙하게 활용 가능한 분 Tensorflow Keras PyTorch 등 딥러닝 프레임워크을 능숙하게 활용 가능한 분,"프로덕션, 레벨, 모델, 개발, 프로세스, 대한, 이해, 및, 프로젝트, 경험, 분, 데이터, 모델링, 통해, 비즈니스, 문제, 해결, 보신, 분, 데이터, 분석, 데이터, 엔지니어, 및, 타, 부서, 커뮤니케이션, 분, 활용, 분, 등, 딥, 러닝, 프레임, 워, 활용, 분","ml, python, sql, tensorflow, keras, pytorch",데이터 사이언티스트
학사 수준 이상의 통계 관련 지식 보유자 2년 이상의 관련 업무 경험자 데이터 분석의 목적과 그를 통해 만들어 낼 수 있는 가치에 대해 끊임없이 고민하시는 분 자유도가 높은 환경에서 주도적으로 데이터 파이프라인을 구축하고 새로운 데이터를 발굴하며 그에 대한 여러가지 분석을 시도하고 싶으신 분 각각의 데이터가 어떤 의미를 갖는지 이해하기 위해 스스로 공부하는 것을 즐기시는 분 원본 데이터부터 꼼꼼하게 들여다 보고 확장성 있는 데이터 모형을 개발하시는 분 SQL Python 등을 사용한 데이터 처리에 능숙하신 분 PM 디자이너 개발자 등 다양한 팀원들과의 원활한 커뮤니케이션이 가능하신 분,"학사, 수준, 이상, 통계, 관련, 지식, 보유, 이상, 관련, 업무, 경험, 데이터, 분석, 목적, 그, 통해, 낼, 수, 가치, 대해, 고민, 분, 자유도, 환경, 주도, 데이터, 파이프라인, 구축, 데이터, 발굴, 그, 대한, 여러가지, 분석, 시도, 분, 각각, 데이터, 의미, 이해, 위해, 스스로, 공부, 것, 분, 원본, 데이터, 보고, 확장, 데이터, 모형, 개발, 분, 등, 사용, 데이터, 처리, 분, 디자이너, 개발자, 등, 팀원, 커뮤니케이션, 분","sql, python, pm",데이터 애널리스트
이런 분이 필요해요 이미지 데이터에 대한 기초 지식 알는 사람 Python을 활용하여 머신러닝 딥러닝 프로젝트 경험자 OpenCV Numpy Tensorflow 및 Pytorch 사용 경험 CNN 및 transformer 사용 경험 최신 기술에 관심이 많은 분 주도적으로 일을 만들고 책임감 있게 리드하시는 분 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 업무에 꼭 필요한 기술 스택 입니다 Python OpenCV Numpy Pytorch or Tensorflow,"분, 이미지, 데이터, 대한, 기초, 지식, 사람, 활용, 머신, 러닝, 딥, 러닝, 프로젝트, 경험, 및, 사용, 경험, 및, 사용, 경험, 최신, 기술, 관심, 분, 주도, 일, 책임감, 리드, 분, 다른, 직, 문제, 정의, 해결, 책, 수, 분, 업무, 꼭, 기술, 스택","python, opencv, numpy, tensorflow, pytorch, cnn, transformer, python, opencv, numpy, pytorch, or, tensorflow",데이터 애널리스트
석사 이상 또는 2년 이상의 경력을 보유하신 분 Remote Sensing Signal Processing Earth Science 등 관련 전공 및 학위 또는 그에 준하는 전문 지식을 보유하신 분 SAR 영상 신호처리 관련 논문의 정확한 이해 및 구현이 가능하신 분 Python Matlab 등 신호처리를 위한 언어 및 라이브러리 사용이 가능하신 분,"석사, 이상, 이상, 경력, 보유, 분, 등, 관련, 전공, 및, 학위, 그, 준, 전문, 지식, 보유, 분, 영상, 신호처리, 관련, 논문, 이해, 및, 구현, 분, 등, 신호처리, 위, 언어, 및, 라이브러리, 사용, 분","remote, sensing, signal, processing, earth, science, sar, python, matlab",데이터 애널리스트
